"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=145"">2:25</a> 농님 너무 귀여워요 ㅠㅠ"
룡님 서버가 기대 되네요ㅎㅎ
우우주입자자앙
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=94"">1:34</a> ㅋㅋ"
와 아니 저런 것들을 다 찾아서 공부하고 그 취지에 맞게 행동할 생각을 하는게 진짜 내가 공룡을 너무 좋아하는 면모여서 한번 치이고 진짜 다크포레스트 공룡이다가 뜰님이 너무 반갑게 맞이해줘서 순간 세웠던 계획을 다 없애고 바로 합병할 생각을 했다는 거에 또 한번 치임.. 정공룡 당신 매력이 까도까도 계속나와 양파야 뭐야
인류를 수호하기위해 다른 문명을 말살해버린다라...공룡 이 사람도 보면 마음 안에 커다란 괴물이 살고 있는것같기도 ㅋㅋㅋ
처음에 다크포레스트 재생목록에 제목만 같은 다른 채널영상이 있길래 공룡님이 실수로 제목만 보고 재생목록에 넣어놨구나라고 생각해는데 이런 깊은 뜻이 있었다니ㄷㄷ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ방송인 공룡과 닼포 공룡의 싸움이 잇엇네요.. ㅋㅋㅋㅋㅋㅋ 설명 들으니까 더 재밋다
코마님!!!!!
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=959"">15:59</a> 공룡님 채널 둘러보다 재생목록에 이 영상이 있길래 뭔가 했더니 이거였군요!"
딴 문명은 강화에 빠져서 허우덕 대는데 여기만 진심전력으로 전략짰던 ㅋㅋㅋ
뜰님이랑 룡님이랑 만날 때 방송을 못봤는데 유튜브로 처음 보니까 뜰님 반겨주시는게 너무 친근해서..ㅋㅋ 계속 돌려봄 ㅋㅋㅋㅋ
이제 각님 서버가 끝나셨으니 이제 룡님 서버 대기 할게요ㅋㅋ
공하
닼포 오늘올라올거란 상상도 못했다ㅏ
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1304"">21:44</a> <a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1316"">21:56</a>"
"그니까 각별,잠뜰,코마는 문명 하고있는중인데 <br>공룡 혼자만 다크포레스트 했음 ㅋㅋㅋ"
7분 5초에 잠뜰님 귀여웡ㅋㅎㅋㅎ
아 마지막에 이론가설 이런거 얘기해주시는거까지 너무 재밌다 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠ
근데 공룡님 애들 잘 키우신다ㅋㅋㅋㅋ진짜로ㅋㅋ
안그래도 재밌던 다크포레스트에 공룡님의 행위예술ㅋㅋ 덕분에 더 재밌어진 것 같아요. 앞으로도 재밋는 컨텐츠!! 부탁드립니다🫶🫶
무엇보다 닼포 공룡과 틈틈사이로 비집고나오는 방송인공룡이 있어 닼포는 개꿀잼 방송이었습니다. 홀로 그렇게 많은 생각을 하셨구나...저는 그저 헤ㅔㅎ 재밌당 하고봤는데..
와 너무 똑똑해서 무서울 지경이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋ 보면서 배꼽빠지게 웃었네요 ㅋㅋㅋㅋ
공룡 행성??
So good video so how about dark forest into all people world
그리고 마지막 전략이 너무 좋았음
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=920"">15:20</a>"
조커인줄 알았던 조커카드였네
각별 코마팀 걍 나뒀음 졌다
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=425"">07:05</a>"
트위치에서 타플렛폼 동시송출 금지했어요
와 공룡 스크립트로 설명하는거 보면 천재인듯ㄷㄷ
근데 코마기지 살려뒀으면 그거대로 유튭각 지릴듯 ㅋㅋ
가설 영상 보고왔는데 다크포레스트 컨텐츠가 진짜 이 가설과 비슷하게 간 것 같아서 뭔가 더 의미있게 재밌네요 ㅋㅋㅋㅋㅋㅋ
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1376"">22:56</a> 맑은 눈의 광인"
공룡이 멸종한 이유!
네 잘 들었습니다 ㅋㅋㅋㅋㅋㅋㅋㅋ
룡님 말 너무 잘해 ㅋ
혹시 공룡님이 혼자서 뒤풀이 할때 썼던 메모장 같은 앱 뭔가요 ㅠㅠ??
솔직히 재미는 있었는데<br>저렇게까지 터트린건 조금 선넘었음..<br>심지어 상점 템 다털어가라는것도 아니고<br>멤버 소환한건 선을 너무넘은거같음
공룡님 다운 플레이 였던것 같습니다. 정말 즐거웠고 다음 서버들도 너무 기대되네요*^^*
각별 잘생겼다
공룡님 뒤풀이하는거 진짜 맘에든다
마지막 코마 문명 설명이 너무 적절햌ㅋㅋㅋㅋㅋㅋㅋㅋ
역시 천재 기획자
여기서 제일 불쌍한 분은 플레그님이야 ㅋㅋ
공룡님 메모장 신기하다
ㅎ
거의 몇주? 몇달간 잘봤습니다 ㅋㅋ
나왔다!!
아 ㅋㅋ 우주문명 다 봤네
다크 포레스트 그리워…😢1
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1380"">23:00</a>  아닠ㅋㅋ 코마님ㅋㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=279"">4:39</a>  덕개홐ㅋㅋㅋ"
와 이론에 대입해서 플레이 한게 진짜… 영상볼땐 아무생각없이 봤는데 이렇게 비하인드로 듣고나니 감탄만 나오네요<br>한수 배우고 갑니다!!!!!!!!!!!
우주문명토크가 진짜 너무 알차고 몰입감 대박이다 천재야...? 정공룡...? 영화 한편이 한 공룡의 머리에서 나오는거 미쳤다 다포시리즈 해석통합본 미쳤다..
"플래그님 ㅋㅋㅋㅋㅋ 불쌍하닼ㅋㅋㅋㅋㅋㅋㅋ 게임 해보지도 못하고막지막 이거만 오셨어,,…"
개 똑똑하다 진짜
아이큐가 높은덴 이유가 있구나
구경:플래그 ㅋㅋㅋㅋ 불쌍하네
이런거 보면 공룡님 뭔가 씹덕스러운 부분도 있는 것 같음
.
난 아무 생각없이 히히 재밌다<br>거리면서 봤는데 룡님은 다 생각이 있었구나
크ㅡㅡㅡ
쿠르츠게작트 침투력ㄷㄷ   공룡유튜브에서 보니 반갑네 ㅋㅋ
뜰님은 올 5점인데...
언제나 재밌는 영상 감사합나다! 넘 재밌어요^^ㅎㅎ
"근데 진짜 코마님 화면으로 막 보면 워든팜도 그렇고 화약팜도 그렇고 너무 강했어,,진짜,, 이건 공룡님이 막지ㅣ않았으면 나머지 3문명 합쳐도 슈슉 썰렸을꺼야,, 진짜 코마님입장에서 보면 너무 불쌍하지만 다른 문명입장에선 너무 이해되는선택 ㅋㅋ))설명 비유도 개찰떡이야 ㅋㅋ큐큐"
수상한 이웃집에서 터트린거 2벗
공룡 님 사랑해 요
7:5
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1309"">21:49</a>"
공룡님이랑 각별님 방송 보면 뭔가 똑똑(?)하고 재밌는 사람이 되고 싶어짐
프레디? 뭘까. 인형탈 같았는데
안뇽
공룡 님 너무 귀여워요!!!!!!!
나는 공룡 영상이 좋아 ^^ㅎㅎㅎ
공룡님 유튜브 구독자 50만명인데 <br>이벤트 안하나요?
공룡영상금단증상
공룡님 영상 한숟갈 얻을 수 있나요?
ㄹㅇ 방송인 그자체
공룡짱
코마가 계획하는게 로인워같은거 같은데
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=822"">13:42</a>"
zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
진짜 코마팀 ㅈㄴ 불쌍하다 거상할려다 통수 ㅋㅋㅋㅋ
아무리 생각해도 별님은 유튜브 보고 갑자기 오 다크 포레스트라는 이론이 있네? 이거 이름으로 해야겠다 한 거 같은데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
딱 공룡님은 서버에서 다크포레스트 이론따라서 행동한것 같음
좋은영상감사합니다
와아아
"공룡님 컨텐츠 타임머신? 같은게 있고, 케비넷이 중요한듯."
알아도 왜저러지란 생각이...
겁나 거창하게 보네ㅋㅋㅋㅋ
아쉽네
코마 서버놀러가주세용
개인적으로 모든 화면들 중에서 공룡님 화면이 제일 재미있었던것 같음 완전 스펙타클하게 살아가꼬ㅋㅋ
잠깐... 공룡서버?? (대ㄷㅗㅇ호 ㅈㅣ도)
졸라 똑똑한 사람인듯 진짜
진짜 이분 문과 같은 이과다
아 진짜 재밌다 ㅋㅋ
다크포레스트 해석부터 분석까지 역시 공룡님 다운 설계였네요ㅋㅋㅋ 재밌게봤는데 비하인드까지 풀어주셔서 더 즐겁게 봤습니다 감사합니다 ദ്ദി˶ˊᵕˋ˵)
트위치 채팅 못 친지 어언 2주?3주?
몰입한게 개웃기네 ㅋㅋㅋㅋㅋ
자연적이야
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1371"">22:51</a><br>ㅋㅋㅋㅋㅋㅋㅋ얼척"
고양이 비유 개 웃기네ㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ<br>다들 콤큐 문명 개같이박살내는 공룡을 보며 왜저러지 라고 생각은 했으나<br>공룡님이라서 그냥 납득함.
아 썸네일 못참는다
역시 다크포레스트ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
공룡은 노력파다...
진짜 컨텐츠마다 감탄 나온다...대박
"코마님기지를터트려 다크포레스트를갓룡님<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=853"">14:13</a>"
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1371"">22:51</a>"
아 다음 서버도 기대된다 화이팅🎉
공룡님 입장 완전 이해되욬 ㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋ고양이 코마ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
푸후훟후후후후 이젠 룡님 차례인가요 호홓호홓호호홓<br>기대하겠슴니닿후후후후훟후후훟ㅎㅎ후후후
"<a href=""https://www.youtube.com/watch?v=na03rWeym2Q&amp;t=1378"">22:58</a><br>ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
그래서 코마님도 멸망시키고 잠뜰님도 멸망 시킬 계획이었는데           잠뜰님이 너무 반갑게 맞이 해줘서 살려줬다?(코마님도 정말 반갑게 맞아 줬는데)
놀이터야생 강화 버전
&#39;트로이 공룡&#39;
ㅋㅋㅋㅋㅋㅋㅋㅋ 처음 캐릭터 능력이
뒷풀이 방송도 흥미롭다ㅋㅋㅋㅋㅋ
설마 귤이 코마님임?
마지막에 코마토끼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
와 에베레스트산ㄷㄷ;;
코마 터질때 프로토스 망하는느낌났음 ㅋㅋ
썸네일: 지구가 화성에 선전포고 하고 그걸 해왕성과 금성이 지켜봄
근데 썸넬 너무 잘나왔다 ㅋㅋ
이제 닼포없이 어떻게 사나...
왕관 디테일 쩐다구요~~
공하
공룡님 오늘도 너무너무 재미있었어요 그리고   공룡님 항상 영상을 만들어 주셔서 감사합니다 공룡님 힘내세요 그리고 공룡님 최고입니다👍👍👍👍
오 kurgterzart 뭐시기 제밌는데
와 쿠르츠게작트 보는사람이 있다니
썸넬은 다크스페이스 서버
코마님 영상만 보고있다 폭격당해서 화났는데 영상보니까 이해가 되긴하네요
이제 화이트 포레스트  ㄱㄱ
ㄷㄷ
하.. 다크포레스트 너무 재밌었다..
이거 보고 다시 보면 재밌을 것 같아요
다크포레스트 후기<br>우와 이사람 진짜 공갈량... 아니 공갈협박량이었네!!
이 영상에서 나오는 지도는 어떤 방법으로 만든건가요?
확실히 스토리가 있어야 행동이 이해하기 쉽고 재밌어지는거야 ㅋㅋ 이거 듣고 나니까 이해가 그냥 막 ㅋㅋ
닼포 즐겁게봤는데...떠나보낸다니 아쉽긴하지만 ..닼포 재미있었습니다!!
다크포레스트 공룡 아주 쩔었다
와
아ㅋ 오늘도 잘보고 갑니다ㅋ💚
다크 포레스트 ?!
코마는 귤 컨셉인건가요?<br>섬네일러님 센스가 대박이시네요
와ㅏㅏㅏㅏㅏㅏㅏ
와 공룡이다<br>재미있을것같아요
외계공룡이다
옆 사람 치기 챱챱
나올줄알았다
재밌게 보고갑니다ㅏ!
ㅋㅋㅋㅋㅋㅋㅋ
"<b>스포</b> 댓글을 조심해 주세요<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZLGpDOiJ_9EP-_60oAQ""></a><br><br>매주 주말에 업로드 될 예정입니다<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZOOpDOiJ_9EP-_60oAQ""></a>"
공룡님도 다크포레스트의 기운을 받고 약속하신 4월 빡업로드도 해서 제발 이번년도에는 100만갑시다 저희도 응원할게요💚
"그동안의 서버에서 불공정한 점이였던거 다 밸런스패치해서 만든서버인게 진짜 잘 느껴져서 ㄹㅇ개꿀잼임미다<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZPunDOiJ_9EP-_60oAQ""></a><br>생방 놓치면 인생 손해봅니다 열어분<br>요새 방송 자주해서 너무 행복함<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJ6oDOiJ_9EP-_60oAQ""></a><a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZMGoDOiJ_9EP-_60oAQ""></a>"
기다리고 기다렸던 &#39;그 서버&#39; 드디어 올라왔구나!!<br>근데 진짜 각별님 서버 밸런스 잘 맞춰서 만드셨다 설명 듣는데 진짜 대단하다 생각듦
"이렇게 공룡잠뜰각별코마(팀) 끼리 서버하는거 너무 재밌을것같네요 ㅋㅋ<a href=""UCWf4QKgnTyvmehcRqw-JldQ/sBE1ZLLcH-eM_9EPx8m90As""></a> 생방송도 봤지만 유튜브 개인채널로 편집되서 올라오는 영상도 기다리고 있었어요 <a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJ6oDOiJ_9EP-_60oAQ""></a> 다크 포레스트 서버 진짜 잘되었으면 너무 좋겠다 !! <br><br><br>+공룡님 49.9만 명 축하드립니다!!"
"섬네일과 다르게 누구보다 진심으로 즐기고있는 공룡...<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZOOpDOiJ_9EP-_60oAQ""></a><br>덕분에 주말에 집 밖을 절대 안 나감... ㅋㅋㅋ"
"다크 포레스트는 소설 삼체(네이버에서 웹툰으로 연재 중)에서 나오는 &#39;우리 세계는 어두운 숲(우주)에서 사냥꾼들(문명)만 도사리고 있고, 불빛(지성체 신호)만 보여도 모두가 거기에 총을 쏘는 위험천만한 공간이다&#39;라는 이론입니다"
드디어 그 서버의 시작이 올라오는군
썸네일이 너무 평화로워 보입니다…ㅎㅎ 재밌게 즐기고 오셨다니 오늘은 꼭 가봐야겠네요 ㅎㅎㅎ
썸네일이 위험하군요 코마님은 미성년자인ㄷ
공룡님 늘 재미있게 보고 있습니다 새 컨텐츠에서도 화이팅!
썸네일에 코마님 미성년자 아닌가요 ㅋㅋㅋㅋ
이번 서버 컨텐츠 좀 야무져 보입니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ<br><br><br><br><br><br>공룡이 털릴 수록 방분이 늘어나죠 ㅋㅋㅋ
언젠간 곧 공룡님 맵을 한다는 겁니까~ 기대합니다 ㅋㅋㅋㅋ
힐링 요소가 특수적으로 있으면 좋겠는디
다른 분들 서버는 언제쯤....ㅠㅠ
"<a href=""https://www.youtube.com/watch?v=IGFrcc2WmGk&amp;t=131"">2:11</a> 캐릭터 색상이<br>꼬부기 파이리 이상해씨노 ㅋㅋ"
"<a href=""https://www.youtube.com/watch?v=IGFrcc2WmGk&amp;t=384"">6:24</a>"
잊으니까 돌아온유튜버
드디어 올라오네요 처음부터 개꿀잼으로 시작하는 갓서버 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠ
첫 주에 공룡님이 하다가 씻고 왔다는 그<br>전설이군요
선생님 정말로 4월달 빡업로드각입니당~~~~🎉🎉
평화롭게 살자며ㅋㅋㅋㅋㅋ
썸내일에 한분은 마시면 안될것 같은데..?
각별님 만드는 과정 봤는데 대단하시다 …
유휴~
어머 나도 이렇게 될지도 몰라 어헝ㅎ허 는 대체 뭐에요ㅋㅋㅋ?
코마님은 미자이므로 그냥 자고 있는겁니다.
이거 재미있겠네요. ㅎㅎ
시험 12시긴전 최고의 선택
꿀잼ㅋㅋ
드디어 서버 영상이 올라오는 건가요?
스포 : 개 재미있을거임
공룡서버 시즌 2 ㄷㄷㄷㄷㄷㄷ
"생방보면서 유튭만 기달였다ㅋㅋㅋ<a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZPunDOiJ_9EP-_60oAQ""></a><a href=""UCWf4QKgnTyvmehcRqw-JldQ/RWMdZJ6oDOiJ_9EP-_60oAQ""></a>"
헉 소개만 들어도 재밌는 다크 포레스트!!!! 매주 주말 볼수 있다고? 당장 보러가자!!
피자타워나 저주소녀 아틀리에 해주시면 감사하겠습니다 공룡님
젠장! 난 이 영상에서 빠져 나가겠어!
